frame,detected,det_conf,crop_px,score,verdict
frame_000273_UNKNOWN_-0.521,1,,113,-0.2314,UNKNOWN
frame_000274_UNKNOWN_-0.543,1,,116,-0.2354,UNKNOWN
frame_000275_UNKNOWN_-0.464,1,,112,-0.2802,UNKNOWN
frame_000276_UNKNOWN_-0.507,1,,117,-0.2871,UNKNOWN
frame_000277_UNKNOWN_-0.449,1,,121,-0.3216,UNKNOWN
frame_000278_UNKNOWN_-0.438,1,,121,-0.3469,UNKNOWN
frame_000279_UNKNOWN_-0.563,1,,120,-0.3711,UNKNOWN
frame_000280_UNKNOWN_-0.471,1,,118,-0.3046,UNKNOWN
frame_000281_UNKNOWN_-0.464,1,,118,-0.3379,UNKNOWN
frame_000282_UNKNOWN_-0.469,1,,116,-0.325,UNKNOWN
frame_000283_UNKNOWN_-0.470,1,,116,-0.355,UNKNOWN
frame_000284_UNKNOWN_-0.484,1,,111,-0.275,UNKNOWN
frame_000285_UNKNOWN_-0.389,1,,111,-0.2876,UNKNOWN
frame_000286_UNKNOWN_-0.463,1,,108,-0.2598,UNKNOWN
frame_000287_UNKNOWN_-0.491,1,,109,-0.2848,UNKNOWN
frame_000288_UNKNOWN_-0.482,1,,109,-0.2739,UNKNOWN
frame_000289_UNKNOWN_-0.488,1,,100,-0.3428,UNKNOWN
